date,ticker,value
1988-03-15,aapl,0.339275
1988-03-16,aapl,0.34768
1988-03-17,aapl,0.339275
1988-03-18,aapl,0.337437
1988-03-21,aapl,0.330909
1988-03-22,aapl,0.331758
1988-03-23,aapl,0.32027
1988-03-24,aapl,0.308302
1988-03-25,aapl,0.302484
1988-03-28,aapl,0.313062
1988-03-29,aapl,0.30916
1988-03-30,aapl,0.298019
1988-03-31,aapl,0.301704
1988-04-01,aapl,0.301704
1988-04-04,aapl,0.292192
1988-04-05,aapl,0.295847
1988-04-06,aapl,0.314822
1988-04-07,aapl,0.307333
1988-04-08,aapl,0.30916
1988-04-11,aapl,0.313062
1988-04-12,aapl,0.314822
1988-04-13,aapl,0.310888
1988-04-14,aapl,0.298019
1988-04-15,aapl,0.298019
1988-04-18,aapl,0.301704
1988-04-19,aapl,0.303433
1988-04-20,aapl,0.299788
1988-04-21,aapl,0.298019
1988-04-22,aapl,0.302484
1988-04-25,aapl,0.308302
1988-04-26,aapl,0.313062
1988-04-27,aapl,0.314822
1988-04-28,aapl,0.312133
1988-04-29,aapl,0.30916
1988-05-02,aapl,0.30916
1988-05-03,aapl,0.314822
1988-05-04,aapl,0.316676
1988-05-05,aapl,0.314822
1988-05-06,aapl,0.310888
1988-05-09,aapl,0.307333
1988-05-10,aapl,0.308302
1988-05-11,aapl,0.298019
1988-05-12,aapl,0.299788
1988-05-13,aapl,0.30512
1988-05-16,aapl,0.310888
1988-05-17,aapl,0.30512
1988-05-18,aapl,0.299788
1988-05-19,aapl,0.293991
1988-05-20,aapl,0.292192
1988-05-23,aapl,0.286542
1988-05-24,aapl,0.29306
1988-05-25,aapl,0.290206
1988-05-26,aapl,0.297102
1988-05-27,aapl,0.299788
1988-05-30,aapl,0.299788
1988-05-31,aapl,0.313062
1988-06-01,aapl,0.32027
1988-06-02,aapl,0.314822
1988-06-03,aapl,0.324263
1988-06-06,aapl,0.331758
1988-06-07,aapl,0.331758
1988-06-08,aapl,0.339275
1988-06-09,aapl,0.328103
1988-06-10,aapl,0.335413
1988-06-13,aapl,0.339275
1988-06-14,aapl,0.341152
1988-06-15,aapl,0.345053
1988-06-16,aapl,0.335413
1988-06-17,aapl,0.337437
1988-06-20,aapl,0.332627
1988-06-21,aapl,0.338326
1988-06-22,aapl,0.343806
1988-06-23,aapl,0.339275
1988-06-24,aapl,0.339275
1988-06-27,aapl,0.335413
1988-06-28,aapl,0.348608
1988-06-29,aapl,0.349852
1988-06-30,aapl,0.348608
1988-07-01,aapl,0.350494
1988-07-04,aapl,0.350494
1988-07-05,aapl,0.356184
1988-07-06,aapl,0.350494
1988-07-07,aapl,0.34596
1988-07-08,aapl,0.341152
1988-07-11,aapl,0.340271
1988-07-12,aapl,0.337437
1988-07-13,aapl,0.337437
1988-07-14,aapl,0.339275
1988-07-15,aapl,0.339275
1988-07-18,aapl,0.343225
1988-07-19,aapl,0.337437
1988-07-20,aapl,0.333507
1988-07-21,aapl,0.324263
1988-07-22,aapl,0.32027
1988-07-25,aapl,0.322365
1988-07-26,aapl,0.322365
1988-07-27,aapl,0.322365
1988-07-28,aapl,0.32121
1988-07-29,aapl,0.3348
1988-08-01,aapl,0.339275
1988-08-02,aapl,0.336332
1988-08-03,aapl,0.337437
1988-08-04,aapl,0.336332
1988-08-05,aapl,0.333507
1988-08-08,aapl,0.331758
1988-08-09,aapl,0.328103
1988-08-10,aapl,0.315785
1988-08-11,aapl,0.326
1988-08-12,aapl,0.32027
1988-08-15,aapl,0.310888
1988-08-16,aapl,0.32027
1988-08-17,aapl,0.316676
1988-08-18,aapl,0.32027
1988-08-19,aapl,0.307333
1988-08-22,aapl,0.299788
1988-08-23,aapl,0.298019
1988-08-24,aapl,0.307333
1988-08-25,aapl,0.302484
1988-08-26,aapl,0.303433
1988-08-29,aapl,0.308302
1988-08-30,aapl,0.308302
1988-08-31,aapl,0.300715
1988-09-01,aapl,0.29306
1988-09-02,aapl,0.299788
1988-09-05,aapl,0.299788
1988-09-06,aapl,0.29306
1988-09-07,aapl,0.288281
1988-09-08,aapl,0.292192
1988-09-09,aapl,0.30512
1988-09-12,aapl,0.30916
1988-09-13,aapl,0.30916
1988-09-14,aapl,0.316676
1988-09-15,aapl,0.313693
1988-09-16,aapl,0.318515
1988-09-19,aapl,0.314822
1988-09-20,aapl,0.313062
1988-09-21,aapl,0.322365
1988-09-22,aapl,0.331758
1988-09-23,aapl,0.329971
1988-09-26,aapl,0.322365
1988-09-27,aapl,0.327273
1988-09-28,aapl,0.328103
1988-09-29,aapl,0.331758
1988-09-30,aapl,0.326
1988-10-03,aapl,0.32027
1988-10-04,aapl,0.313062
1988-10-05,aapl,0.308302
1988-10-06,aapl,0.299788
1988-10-07,aapl,0.299788
1988-10-10,aapl,0.290206
1988-10-11,aapl,0.293991
1988-10-12,aapl,0.292192
1988-10-13,aapl,0.293991
1988-10-14,aapl,0.292192
1988-10-17,aapl,0.290206
1988-10-18,aapl,0.297102
1988-10-19,aapl,0.301704
1988-10-20,aapl,0.313062
1988-10-21,aapl,0.30916
1988-10-24,aapl,0.301704
1988-10-25,aapl,0.300715
1988-10-26,aapl,0.295847
1988-10-27,aapl,0.293991
1988-10-28,aapl,0.290206
1988-10-31,aapl,0.291156
1988-11-01,aapl,0.286542
1988-11-02,aapl,0.280756
1988-11-03,aapl,0.279885
1988-11-04,aapl,0.284705
1988-11-07,aapl,0.282909
1988-11-08,aapl,0.290206
1988-11-09,aapl,0.295847
1988-11-10,aapl,0.298019
1988-11-11,aapl,0.290206
1988-11-14,aapl,0.29306
1988-11-15,aapl,0.293991
1988-11-16,aapl,0.286542
1988-11-17,aapl,0.288281
1988-11-18,aapl,0.286542
1988-11-21,aapl,0.275964
1988-11-22,aapl,0.272281
1988-11-23,aapl,0.278087
1988-11-24,aapl,0.278087
1988-11-25,aapl,0.275056
1988-11-28,aapl,0.275056
1988-11-29,aapl,0.27715
1988-11-30,aapl,0.28348
1988-12-01,aapl,0.292192
1988-12-02,aapl,0.295847
